bin,binBarcode,level,option1,option2,option3,productName,productType,quantity,shelf,sku,warehouse,expiration,lotName,minCost,avgCost,maxCost,price,committed,incoming
LVL 1,1772124449865,1,Size: Size 6,Color: Bling,,"Cavallo Entry Level Regular Sole Hoof Boot (ELB), Single Boot",Tack & Equipment > Boots & Wraps > Hoof Boots,1,Hoof Boots,11-4184SPK-6,Wellington Warehouse,,,41200,41200,41200,64990,0,0
LVL 1,1772124449865,1,Size: Size 5,Color: Black,,"Cavallo Entry Level Regular Sole Hoof Boot (ELB), Single Boot",Tack & Equipment > Boots & Wraps > Hoof Boots,4,Hoof Boots,11-4184-5,Wellington Warehouse,,,38500,38500,38500,64990,0,0
LVL 2,1772124449866,2,Size: Size 4,,,"EasyCare Easyboot Original Trail Hoof Boot, Single Boot",Tack & Equipment > Boots & Wraps > Hoof Boots,8,Hoof Boots,SB-EBT-4,Wellington Warehouse,,,39110,39110,39110,74990,0,0
LVL 2,1772124449866,2,Size: Size 5,,,"EasyCare Easyboot Original Trail Hoof Boot, Single Boot",Tack & Equipment > Boots & Wraps > Hoof Boots,5,Hoof Boots,SB-EBT-5,Wellington Warehouse,,,39110,39110,39110,74990,0,0
ROW 5 : LVL 2,1769190184152,2,Size: 1 Gallon,,,Farnam Endure Sweat Resistant Fly Spray,Horse Care > Fly & Insect Control > Fly Sprays & Traps,8,Fly sprays,100526253,Wellington Warehouse,,,62000,62000,62000,79990,0,0
LVL 2,1772124449866,2,Size: Size 11,,,"EasyCare Easyboot Original Trail Hoof Boot, Single Boot",Tack & Equipment > Boots & Wraps > Hoof Boots,1,Hoof Boots,SB-EBT-11,Wellington Warehouse,,,81980,81980,81980,106950,0,0
ROW 3 : LVL 3,1774281147459,3,"Size: 60 cc, 6-pack",,,Cavalor An Energy Boost,Horse Care > Supplements > Performance & Energy,8,Supplements 2,82193806,Wellington Warehouse,2027-09-30,Lot# 25070021,57190,57190,57190,83990,0,0
LVL 1,1772124449865,1,Size: Size 5,Color: Bling,,"Cavallo Entry Level Regular Sole Hoof Boot (ELB), Single Boot",Tack & Equipment > Boots & Wraps > Hoof Boots,4,Hoof Boots,11-4184SPK-5,Wellington Warehouse,,,41200,41200,41200,64990,0,0
LVL 1,1772124449865,1,Size: Size 0,Color: Bling,,"Cavallo Entry Level Regular Sole Hoof Boot (ELB), Single Boot",Tack & Equipment > Boots & Wraps > Hoof Boots,10,Hoof Boots,11-4184SPK-0,Wellington Warehouse,,,41200,41200,41200,64990,0,0
LVL 2,1772124449866,2,Size: Size 2,,,"EasyCare Easyboot Original Trail Hoof Boot, Single Boot",Tack & Equipment > Boots & Wraps > Hoof Boots,16,Hoof Boots,SB-EBT-2,Wellington Warehouse,,,39110,39110,39110,74990,0,0
